"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testTransferWithFraudCheckVerificationRequired()","","Fri May 08 08:11:12 UTC 2026","skipped","Fri May 08 08:11:12 UTC 2026","","iteration2.api.TransferWithFraudCheckTest","iteration2.api.TransferWithFraudCheckTest","testTransferWithFraudCheckVerificationRequired"
"","11946","userCanNotDepositWithoutEnteringAmountTest()","","Fri May 08 08:08:04 UTC 2026","passed","Fri May 08 08:08:16 UTC 2026","","iteration2.ui.DepositUiTest","iteration2.ui.DepositUiTest","userCanNotDepositWithoutEnteringAmountTest"
"","546","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Fri May 08 08:12:28 UTC 2026","passed","Fri May 08 08:12:29 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","759","userCanDepositTest(Double) [3] amount=0.01","","Fri May 08 08:11:35 UTC 2026","passed","Fri May 08 08:11:36 UTC 2026","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanDepositTest"
"","494","userCanGetCustomerProfileTest()","","Fri May 08 08:12:25 UTC 2026","passed","Fri May 08 08:12:26 UTC 2026","","iteration1.api.CustomerProfileTest","iteration1.api.CustomerProfileTest","userCanGetCustomerProfileTest"
"","13350","userCanNotTransferWithInvalidAmountTest()","","Fri May 08 08:09:38 UTC 2026","passed","Fri May 08 08:09:52 UTC 2026","","iteration2.ui.TransferUiTest","iteration2.ui.TransferUiTest","userCanNotTransferWithInvalidAmountTest"
"","170","adminCannotDeleteNotExistsUserTest()","","Fri May 08 08:12:25 UTC 2026","passed","Fri May 08 08:12:25 UTC 2026","","iteration1.api.DeleteUserTest","iteration1.api.DeleteUserTest","adminCannotDeleteNotExistsUserTest"
"","0","testTransferWithFraudCheckWithBadRequest()","","Fri May 08 08:11:12 UTC 2026","skipped","Fri May 08 08:11:12 UTC 2026","","iteration2.api.TransferWithFraudCheckTest","iteration2.api.TransferWithFraudCheckTest","testTransferWithFraudCheckWithBadRequest"
"","662","userCannotChangeNameToInvalidValueTest(String) [7] name=Alsu_test","","Fri May 08 08:11:44 UTC 2026","passed","Fri May 08 08:11:45 UTC 2026","","iteration2.api.ChangeUserNameTest","iteration2.api.ChangeUserNameTest","userCannotChangeNameToInvalidValueTest"
"","181","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Fri May 08 08:12:29 UTC 2026","passed","Fri May 08 08:12:29 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
