"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1044","userCanNotTransferToNotExistsAccountTest()","","Thu May 07 15:15:57 UTC 2026","passed","Thu May 07 15:15:58 UTC 2026","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanNotTransferToNotExistsAccountTest"
"","1001","userCanDepositTest(Double) [1] amount=5000.0","","Thu May 07 15:16:16 UTC 2026","passed","Thu May 07 15:16:17 UTC 2026","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanDepositTest"
"","14054","userCanTransferWithNameAfterNameChangingTest()","","Thu May 07 15:15:16 UTC 2026","passed","Thu May 07 15:15:30 UTC 2026","","iteration2.ui.TransferUiTest","iteration2.ui.TransferUiTest","userCanTransferWithNameAfterNameChangingTest"
"","767","userCanNotTransferFromNotExistsAccountTest()","","Thu May 07 15:16:04 UTC 2026","passed","Thu May 07 15:16:04 UTC 2026","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanNotTransferFromNotExistsAccountTest"
"","592","userCannotChangeNameToNullTest()","","Thu May 07 15:16:21 UTC 2026","failed","Thu May 07 15:16:22 UTC 2026","","iteration2.api.ChangeUserNameTest","iteration2.api.ChangeUserNameTest","userCannotChangeNameToNullTest"
"","753","userCanNotDepositTest(Double, String) [3] amount=5000.01, errorMessage=Deposit amount cannot exceed 5000","","Thu May 07 15:16:16 UTC 2026","passed","Thu May 07 15:16:16 UTC 2026","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanNotDepositTest"
"","659","userCannotChangeNameToInvalidValueTest(String) [4] name=Alsu!@#$%%^&*() test_+/,<>?}{[]';/.!","","Thu May 07 15:16:25 UTC 2026","passed","Thu May 07 15:16:25 UTC 2026","","iteration2.api.ChangeUserNameTest","iteration2.api.ChangeUserNameTest","userCannotChangeNameToInvalidValueTest"
"","0","testTransferWithFraudCheckWithRiskScoreZero()","","Thu May 07 15:15:57 UTC 2026","skipped","Thu May 07 15:15:57 UTC 2026","","iteration2.api.TransferWithFraudCheckTest","iteration2.api.TransferWithFraudCheckTest","testTransferWithFraudCheckWithRiskScoreZero"
"","1384","userCanTransferTest(double) [3] amount=0.01","","Thu May 07 15:16:01 UTC 2026","passed","Thu May 07 15:16:02 UTC 2026","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransferTest"
"","12772","userCanNotTransferWithoutEnteringAmountTest()","","Thu May 07 15:14:49 UTC 2026","passed","Thu May 07 15:15:02 UTC 2026","","iteration2.ui.TransferUiTest","iteration2.ui.TransferUiTest","userCanNotTransferWithoutEnteringAmountTest"
"","86","adminCanGenerateAuthTokenTest()","","Thu May 07 15:17:05 UTC 2026","passed","Thu May 07 15:17:05 UTC 2026","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","772","userCanDepositTest(Double) [3] amount=0.01","","Thu May 07 15:16:18 UTC 2026","passed","Thu May 07 15:16:19 UTC 2026","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanDepositTest"
"","14111","userCanChangeNameTest()","","Thu May 07 15:13:00 UTC 2026","passed","Thu May 07 15:13:14 UTC 2026","","iteration2.ui.ChangeUserNameUiTest","iteration2.ui.ChangeUserNameUiTest","userCanChangeNameTest"
"","12411","userCanNotDepositWithoutSelectingAccountTest()","","Thu May 07 15:12:10 UTC 2026","passed","Thu May 07 15:12:22 UTC 2026","","iteration2.ui.DepositUiTest","iteration2.ui.DepositUiTest","userCanNotDepositWithoutSelectingAccountTest"
"","547","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Thu May 07 15:17:06 UTC 2026","passed","Thu May 07 15:17:06 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","17417","userCanNotDepositInvalidValueTest()","","Thu May 07 15:11:53 UTC 2026","passed","Thu May 07 15:12:10 UTC 2026","","iteration2.ui.DepositUiTest","iteration2.ui.DepositUiTest","userCanNotDepositInvalidValueTest"
"","1474","userCanNotTransferInvalidAmountTest(double, String) [1] amount=10000.01, errorMessage=Transfer amount cannot exceed 10000","","Thu May 07 15:16:08 UTC 2026","passed","Thu May 07 15:16:09 UTC 2026","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanNotTransferInvalidAmountTest"
"","688","userCannotChangeNameToInvalidValueTest(String) [7] name=Alsu_test","","Thu May 07 15:16:27 UTC 2026","passed","Thu May 07 15:16:27 UTC 2026","","iteration2.api.ChangeUserNameTest","iteration2.api.ChangeUserNameTest","userCannotChangeNameToInvalidValueTest"
"","752","userCanDepositTest(Double) [2] amount=4999.99","","Thu May 07 15:16:17 UTC 2026","passed","Thu May 07 15:16:18 UTC 2026","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanDepositTest"
"","1417","userCanTransferTest(double) [1] amount=10000.0","","Thu May 07 15:15:58 UTC 2026","passed","Thu May 07 15:15:59 UTC 2026","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransferTest"
"","183","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Thu May 07 15:17:06 UTC 2026","passed","Thu May 07 15:17:07 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
